ANO_ELEICAO;SG_UF;SG_PARTIDO;DS_CARGO;DS_SIT_TOT_TURNO
1994;CE;DEM*;DEPUTADO FEDERAL;2
1994;CE;MDB*;DEPUTADO FEDERAL;5
1994;CE;PC DO B;DEPUTADO FEDERAL;1
1994;CE;PP*;DEPUTADO FEDERAL;2
1994;CE;PSDB;DEPUTADO FEDERAL;11
1994;CE;PT;DEPUTADO FEDERAL;1
1998;CE;DEM*;DEPUTADO FEDERAL;1
1998;CE;MDB*;DEPUTADO FEDERAL;5
1998;CE;PC DO B;DEPUTADO FEDERAL;1
1998;CE;PP*;DEPUTADO FEDERAL;1
1998;CE;PSB;DEPUTADO FEDERAL;1
1998;CE;PSDB;DEPUTADO FEDERAL;10
1998;CE;PT;DEPUTADO FEDERAL;1
2002;CE;CIDADANIA*;DEPUTADO FEDERAL;1
2002;CE;DEM*;DEPUTADO FEDERAL;2
2002;CE;MDB*;DEPUTADO FEDERAL;4
2002;CE;PC DO B;DEPUTADO FEDERAL;1
2002;CE;PL*;DEPUTADO FEDERAL;1
2002;CE;PP*;DEPUTADO FEDERAL;1
2002;CE;PSDB;DEPUTADO FEDERAL;6
2002;CE;PT;DEPUTADO FEDERAL;2
2006;CE;MDB*;DEPUTADO FEDERAL;6
2006;CE;PC DO B;DEPUTADO FEDERAL;1
2006;CE;PL*;DEPUTADO FEDERAL;1
2006;CE;PP*;DEPUTADO FEDERAL;1
2006;CE;PSB;DEPUTADO FEDERAL;2
2006;CE;PSDB;DEPUTADO FEDERAL;4
2006;CE;PT;DEPUTADO FEDERAL;3
2006;CE;PTB;DEPUTADO FEDERAL;1
2010;CE;MDB*;DEPUTADO FEDERAL;5
2010;CE;PC DO B;DEPUTADO FEDERAL;2
2010;CE;PDT;DEPUTADO FEDERAL;1
2010;CE;PL*;DEPUTADO FEDERAL;2
2010;CE;PP*;DEPUTADO FEDERAL;1
2010;CE;PSB;DEPUTADO FEDERAL;2
2010;CE;PSDB;DEPUTADO FEDERAL;1
2010;CE;PT;DEPUTADO FEDERAL;4
2010;CE;PTB;DEPUTADO FEDERAL;1
2014;CE;CIDADANIA*;DEPUTADO FEDERAL;1
2014;CE;DEM*;DEPUTADO FEDERAL;1
2014;CE;MDB*;DEPUTADO FEDERAL;3
2014;CE;PC DO B;DEPUTADO FEDERAL;1
2014;CE;PDT;DEPUTADO FEDERAL;1
2014;CE;PHS*;DEPUTADO FEDERAL;1
2014;CE;PL*;DEPUTADO FEDERAL;2
2014;CE;PROS;DEPUTADO FEDERAL;3
2014;CE;PSDB;DEPUTADO FEDERAL;1
2014;CE;PSL;DEPUTADO FEDERAL;1
2014;CE;PT;DEPUTADO FEDERAL;4
2014;CE;PTB;DEPUTADO FEDERAL;1
2014;CE;REPUBLICANOS*;DEPUTADO FEDERAL;1
2014;CE;SOLIDARIEDADE*;DEPUTADO FEDERAL;1
2018;CE;MDB*;DEPUTADO FEDERAL;1
2018;CE;PATRI;DEPUTADO FEDERAL;1
2018;CE;PDT;DEPUTADO FEDERAL;6
2018;CE;PL*;DEPUTADO FEDERAL;1
2018;CE;PP*;DEPUTADO FEDERAL;1
2018;CE;PROS;DEPUTADO FEDERAL;2
2018;CE;PSB;DEPUTADO FEDERAL;1
2018;CE;PSD;DEPUTADO FEDERAL;1
2018;CE;PSDB;DEPUTADO FEDERAL;1
2018;CE;PSL;DEPUTADO FEDERAL;1
2018;CE;PT;DEPUTADO FEDERAL;3
2018;CE;PTB;DEPUTADO FEDERAL;1
2018;CE;PV;DEPUTADO FEDERAL;1
2018;CE;SOLIDARIEDADE*;DEPUTADO FEDERAL;1
2022;CE;MDB*;DEPUTADO FEDERAL;1
2022;CE;PDT;DEPUTADO FEDERAL;5
2022;CE;PL*;DEPUTADO FEDERAL;5
2022;CE;PP*;DEPUTADO FEDERAL;1
2022;CE;PSD;DEPUTADO FEDERAL;3
2022;CE;PT;DEPUTADO FEDERAL;3
2022;CE;UNIÃO;DEPUTADO FEDERAL;4
