ANO_ELEICAO;SG_UF;SG_PARTIDO;eleitos
2000;CE;CIDADANIA*;17
2000;CE;DEM*;11
2000;CE;MDB*;12
2000;CE;PL*;1
2000;CE;PP*;10
2000;CE;PSB;3
2000;CE;PSD;36
2000;CE;PSDB;83
2000;CE;PT;2
2000;CE;PTB;7
2000;CE;PV;2
2004;CE;AGIR*;1
2004;CE;CIDADANIA*;38
2004;CE;DC*;1
2004;CE;DEM*;5
2004;CE;MDB*;18
2004;CE;PC DO B;1
2004;CE;PDT;3
2004;CE;PHS*;2
2004;CE;PL*;5
2004;CE;PP*;9
2004;CE;PRP;7
2004;CE;PSB;2
2004;CE;PSDB;70
2004;CE;PT;12
2004;CE;PTB;6
2004;CE;PV;4
2008;CE;CIDADANIA*;2
2008;CE;DEM*;2
2008;CE;MDB*;33
2008;CE;PC DO B;5
2008;CE;PDT;2
2008;CE;PHS*;1
2008;CE;PL*;9
2008;CE;PP*;8
2008;CE;PRP;2
2008;CE;PSB;24
2008;CE;PSC;1
2008;CE;PSDB;53
2008;CE;PSL;1
2008;CE;PT;15
2008;CE;PTB;7
2008;CE;PV;2
2008;CE;REPUBLICANOS*;17
2012;CE;DC*;1
2012;CE;DEM*;2
2012;CE;MDB*;22
2012;CE;PC DO B;7
2012;CE;PDT;9
2012;CE;PHS*;2
2012;CE;PL*;6
2012;CE;PP*;4
2012;CE;PPL;3
2012;CE;PSB;39
2012;CE;PSC;1
2012;CE;PSD;28
2012;CE;PSDB;13
2012;CE;PSL;2
2012;CE;PT;27
2012;CE;PTB;2
2012;CE;PV;1
2012;CE;REPUBLICANOS*;15
2016;CE;CIDADANIA*;1
2016;CE;DEM*;1
2016;CE;MDB*;28
2016;CE;MOBILIZA*;2
2016;CE;PATRIOTA*;2
2016;CE;PC DO B;8
2016;CE;PDT;49
2016;CE;PHS*;2
2016;CE;PL*;11
2016;CE;PMB;2
2016;CE;PP*;8
2016;CE;PROS;1
2016;CE;PRP;1
2016;CE;PSB;2
2016;CE;PSD;21
2016;CE;PSDB;14
2016;CE;PSL;1
2016;CE;PT;14
2016;CE;PTB;6
2016;CE;PTN;1
2016;CE;PV;1
2016;CE;REPUBLICANOS*;2
2016;CE;SOLIDARIEDADE*;6
2020;CE;CIDADANIA*;1
2020;CE;DEM*;2
2020;CE;MDB*;17
2020;CE;PC DO B;3
2020;CE;PDT;65
2020;CE;PL*;13
2020;CE;PODE;1
2020;CE;PP*;10
2020;CE;PROS;3
2020;CE;PSB;8
2020;CE;PSD;26
2020;CE;PSDB;4
2020;CE;PSOL;1
2020;CE;PT;18
2020;CE;PTB;3
2020;CE;REPUBLICANOS*;2
2020;CE;SOLIDARIEDADE*;5
2024;CE;MDB*;9
2024;CE;PDT;5
2024;CE;PODE;2
2024;CE;PP*;12
2024;CE;PRD;5
2024;CE;PSB;65
2024;CE;PSD;15
2024;CE;PSDB;2
2024;CE;PT;47
2024;CE;REPUBLICANOS*;14
2024;CE;SOLIDARIEDADE*;1
2024;CE;UNIÃO;5
